Source,Target,Type,Id,Label,Weight
CSH30,GE73D,Directed,437,,1
CSH30,CSW41,Directed,438,,1
CSH30,CSM44,Directed,439,,1
CSH30,CSX42,Directed,440,,1
CSH30,CSH42,Directed,441,,1
CSH30,EEC31,Directed,442,,1
CSH30,EL77A,Directed,443,,1
CSH30,CSS30,Directed,444,,1
CSH30,DI84D,Directed,445,,1
CSA31,FI74M,Directed,446,,1
CSA31,EL66E,Directed,447,,1
CSA31,EEX22,Directed,448,,1
CSA31,FI74S,Directed,449,,1
CSA31,EEE32,Directed,450,,1
CSA31,CSX54,Directed,451,,1
CSW42,GE73D,Directed,452,,1
CSW42,CSW41,Directed,453,,1
CSW42,CSM44,Directed,454,,1
CSW42,CSX42,Directed,455,,1
CSW42,CSH42,Directed,456,,1
CSW42,EEC31,Directed,457,,1
CSW42,EL77A,Directed,458,,1
CSW42,CSS30,Directed,459,,1
CSW42,DI84D,Directed,460,,1
EEB21,FI74N,Directed,461,,1
EEB21,EEF11,Directed,462,,1
EEB21,EEQ31,Directed,463,,1
EEB21,FI73S,Directed,464,,1
EEB21,EEB31,Directed,465,,1
EEB21,EEB22,Directed,466,,1
EEB21,FI73M,Directed,467,,1
EEB21,CSD21,Directed,468,,1
EEC31,ENADE C,Directed,469,,1
EEC31,CSM45,Directed,470,,1
EEC31,CSM41,Directed,471,,1
EEC31,CSX43,Directed,472,,1
EEC31,CSX53,Directed,473,,1
EEB22,EEE31,Directed,474,,1
EEB22,CSW30,Directed,475,,1
EEB22,CSR31,Directed,476,,1
EEB22,CSG20,Directed,477,,1
EEB22,CSB30,Directed,478,,1
EEB22,CSA30,Directed,479,,1
EL77A,ENADE C,Directed,480,,1
EL77A,CSM45,Directed,481,,1
EL77A,CSM41,Directed,482,,1
EL77A,CSX43,Directed,483,,1
EL77A,CSX53,Directed,484,,1
CSR30,GE73D,Directed,485,,1
CSR30,CSW41,Directed,486,,1
CSR30,CSM44,Directed,487,,1
CSR30,CSX42,Directed,488,,1
CSR30,CSH42,Directed,489,,1
CSR30,EEC31,Directed,490,,1
CSR30,EL77A,Directed,491,,1
CSR30,CSS30,Directed,492,,1
CSR30,DI84D,Directed,493,,1
CSS30,ENADE C,Directed,494,,1
CSS30,CSM45,Directed,495,,1
CSS30,CSM41,Directed,496,,1
CSS30,CSX43,Directed,497,,1
CSS30,CSX53,Directed,498,,1
CSE20,MA70G,Directed,499,,1
CSE20,MA70H,Directed,500,,1
CSE20,MA73A,Directed,501,,1
CSE20,EEX21,Directed,502,,1
CSE20,EEB21,Directed,503,,1
CSE20,FI73M,Directed,504,,1
CSE20,CSF30,Directed,505,,1
CSF20,MA70G,Directed,506,,1
CSF20,MA70H,Directed,507,,1
CSF20,MA73A,Directed,508,,1
CSF20,EEX21,Directed,509,,1
CSF20,EEB21,Directed,510,,1
CSF20,FI73M,Directed,511,,1
CSF20,CSF30,Directed,512,,1
CSD20,FI72M,Directed,513,,1
CSD20,QB70C,Directed,514,,1
CSD20,MA72A,Directed,515,,1
CSD20,EEX11,Directed,516,,1
CSD20,FI72S,Directed,517,,1
CSD20,CSE20,Directed,518,,1
CSD20,CSF20,Directed,519,,1
CSD20,FI72N,Directed,520,,1
DI84D,ENADE C,Directed,521,,1
DI84D,CSM45,Directed,522,,1
DI84D,CSM41,Directed,523,,1
DI84D,CSX43,Directed,524,,1
DI84D,CSX53,Directed,525,,1
CSF13,FI72M,Directed,526,,1
CSF13,QB70C,Directed,527,,1
CSF13,MA72A,Directed,528,,1
CSF13,EEX11,Directed,529,,1
CSF13,FI72S,Directed,530,,1
CSF13,CSE20,Directed,531,,1
CSF13,CSF20,Directed,532,,1
CSF13,FI72N,Directed,533,,1
FI73M,EEE31,Directed,534,,1
FI73M,CSW30,Directed,535,,1
FI73M,CSR31,Directed,536,,1
FI73M,CSG20,Directed,537,,1
FI73M,CSB30,Directed,538,,1
FI73M,CSA30,Directed,539,,1
FI73M,FI74N,Directed,540,,1
FI73M,EEF11,Directed,541,,1
FI73M,EEQ31,Directed,542,,1
FI73M,FI73S,Directed,543,,1
FI73M,EEB31,Directed,544,,1
FI73M,EEB22,Directed,545,,1
FI73M,FI73M,Directed,546,,1
FI73M,CSD21,Directed,547,,1
CSD21,EEE31,Directed,548,,1
CSD21,CSW30,Directed,549,,1
CSD21,CSR31,Directed,550,,1
CSD21,CSG20,Directed,551,,1
CSD21,CSB30,Directed,552,,1
CSD21,CSA30,Directed,553,,1
CSF30,FI74N,Directed,554,,1
CSF30,EEF11,Directed,555,,1
CSF30,EEQ31,Directed,556,,1
CSF30,FI73S,Directed,557,,1
CSF30,EEB31,Directed,558,,1
CSF30,EEB22,Directed,559,,1
CSF30,FI73M,Directed,560,,1
CSF30,CSD21,Directed,561,,1
CSB30,EEX22,Directed,562,,1
CSB30,CSW40,Directed,563,,1
CSB30,CSI30,Directed,564,,1
CSB30,CSX54,Directed,565,,1
CSB30,CSE30,Directed,566,,1
CSB30,CSA31,Directed,567,,1
CSB30,CSO30,Directed,568,,1
