('FI73M', 'EEB22', {'weight': 1})
('FI73M', 'FI73M', {'weight': 1})
('FI73M', 'CSD21', {'weight': 1})
('CSD21', 'EEE31', {'weight': 1})
('CSD21', 'CSW30', {'weight': 1})
('CSD21', 'CSR31', {'weight': 1})
('CSD21', 'CSG20', {'weight': 1})
('CSD21', 'CSB30', {'weight': 1})
('CSD21', 'CSA30', {'weight': 1})
('CSF30', 'FI74N', {'weight': 1})
('CSF30', 'EEF11', {'weight': 1})
('CSF30', 'EEQ31', {'weight': 1})
('CSF30', 'FI73S', {'weight': 1})
('CSF30', 'EEB31', {'weight': 1})
('CSF30', 'EEB22', {'weight': 1})
('CSF30', 'FI73M', {'weight': 1})
('CSF30', 'CSD21', {'weight': 1})
('CSB30', 'EEX22', {'weight': 1})
('CSB30', 'CSW40', {'weight': 1})
('CSB30', 'CSI30', {'weight': 1})
('CSB30', 'CSX54', {'weight': 1})
('CSB30', 'CSE30', {'weight': 1})
('CSB30', 'CSA31', {'weight': 1})
('CSB30', 'CSO30', {'weight': 1})
('CSA30', 'EEX22', {'weight': 1})
('CSA30', 'CSW40', {'weight': 1})
('CSA30', 'CSI30', {'weight': 1})
('CSA30', 'CSX54', {'weight': 1})
('CSA30', 'CSE30', {'weight': 1})
('CSA30', 'CSA31', {'weight': 1})
('CSA30', 'CSO30', {'weight': 1})
('CSO30', 'FI74M', {'weight': 1})
('CSO30', 'EL66E', {'weight': 1})
('CSO30', 'EEX22', {'weight': 1})
('CSO30', 'FI74S', {'weight': 1})
('CSO30', 'EEE32', {'weight': 1})
('CSO30', 'CSX54', {'weight': 1})
('FI71M', 'FI72M', {'weight': 1})
('FI71M', 'QB70C', {'weight': 1})
('FI71M', 'MA72A', {'weight': 1})
('FI71M', 'EEX11', {'weight': 1})
('FI71M', 'FI72S', {'weight': 1})
('FI71M', 'CSE20', {'weight': 1})
('FI71M', 'CSF20', {'weight': 1})
('FI71M', 'FI72N', {'weight': 1})
('FI72N', 'MA70G', {'weight': 1})
('FI72N', 'MA70H', {'weight': 1})
('FI72N', 'MA73A', {'weight': 1})
('FI72N', 'EEX21', {'weight': 1})
('FI72N', 'EEB21', {'weight': 1})
('FI72N', 'FI73M', {'weight': 1})
('FI72N', 'CSF30', {'weight': 1})
