Período,[OPT],Código,Disciplina,Modelo de disciplina,Aulas teóricas semanais,Aulas práticas semanais,Total de aulas semanais,Total de aulas de APS,Total de aulas de APCC,Total de horas de AD,Total de horas de CHEXT,Total de horas CHEAD,Carga horária total,Pré-requisito(s),Disciplina_EQ,CHT_EQ,Grupo_EQ
 8,[973],CSL40,ESTRUTURA DE LINGUAGENS DE PROGRAMAÇÃO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSA31,ICSL40,60,
 8,[973],CSL41,CONSTRUÇÃO DE COMPILADORES,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSA31,ICSL41,60,
 8,[965],CSM30,DESENVOLVIMENTO INTEGRADO DE SISTEMAS,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,"CSB30 CSG20","ICSM31 IF66F","45 60",
 8,[972],CSM40,HTML/CSS,FORMAÇÃO PROFISSIONAL,3,1,4,4,0,0,0,0,60,,,,
 8,[972],CSM41,DESENVOLVIMENTO DE APLICAÇÕES WEB,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSB30 CSE20",IF6AE,60,
 8,[972],CSM42,INFRAESTRUTURA PARA TECNOLOGIA DE INFORMAÇÃO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSR30,"ICSM42 IF6AN","60 60",
 8,[972],CSM43,PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS E SEM FIO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSE20,"ICSM46 IF6AG","60 60",
 8,[972],CSM44,WEB DESIGN,FORMAÇÃO PROFISSIONAL,2,4,6,6,0,0,0,0,90,,DI84D,75,
 8,[972],CSM45,COMPUTAÇÃO EM NUVEM,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,Período:6,ICSM45,60,
 8,[964],CSR20,CABEAMENTO ESTRUTURADO,FORMAÇÃO PROFISSIONAL,1,1,2,2,0,0,0,0,30,CSR30,IF6AO,30,
 8,[964],CSR40,REDES E SISTEMAS DE COMUNICAÇÃO MÓVEIS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSR30,"ICSR40 IF6AI","60 60",
 8,[964],CSR41,OFICINA DE REDES,FORMAÇÃO PROFISSIONAL,3,1,4,4,0,0,0,0,60,CSR30,"ICSR41 IF67B","60 60",
 8,[964],CSR42,INFRAESTRUTURA DE LANS HIERARQUICAS,FORMAÇÃO PROFISSIONAL,3,1,4,4,0,0,0,0,60,CSR30,"ICSR42 IF6AP","60 60",
 8,[964],CSR43,INFRAESTRUTURA DE WANS,FORMAÇÃO PROFISSIONAL,3,1,4,4,0,0,0,0,60,CSR30,"ICSR43 IF6BP","60 60",
 8,[964],CSR44,SEGURANÇA DE REDES E SISTEMAS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSR30,"ICSR44 IF68E","60 60",
 8,[964],CSR45,PROJETO DE INFRAESTRUTURA DE REDES,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,6,0,0,45,CSR30,ICSR45,45,
 8,[964],CSR46,ROTEAMENTO E QUALIDADE DE SERVIÇOS EM REDES,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSR30,"ICSR46 IF6CF","45 45",
 8,[964],CSR47,REDES SEM FIO,FORMAÇÃO PROFISSIONAL,2,1,3,0,0,0,0,0,45,CSR30,ICSR47,45,
 8,[964],CSR48,SIMULAÇÃO E ANÁLISE DE DESEMPENHO DE REDES DE COMPUTADORES,FORMAÇÃO PROFISSIONAL,1,2,3,0,0,0,0,0,45,CSR30,ICSR48,45,
 8,[964],CSR53,COMUNICAÇÕES SEM FIO,FORMAÇÃO PROFISSIONAL,2,1,3,0,0,0,0,0,45,CSR30,EL6BF,60,
 8,,CSS30,SISTEMAS DISTRIBUÍDOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,"CSO30 CSR30","ICSS30 IF67C","60 60",
 8,[973],CSU40,DESENVOLVIMENTO DE OBJETOS DE APRENDIZAGEM,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSH30,ICSU40,60,
 8,[973],CSU41,DESIGN INSTRUCIONAL,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,,ICSU41,60,
 8,[973],CSU42,INFORMÁTICA NA EDUCAÇÃO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,8,0,0,60,Período:3,ICSU42,60,
 8,[973],CSU43,INTRODUÇÃO À EDUCAÇÃO À DISTÂNCIA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,,ICSU43,60,
 8,[973],CSU44,SISTEMAS HIPERMIDIA ADAPTATIVOS,FORMAÇÃO PROFISSIONAL,2,3,5,5,0,0,0,0,75,CSG20,ICSU44,75,
 8,[961],CSV30,PROCESSAMENTO DIGITAL DE IMAGENS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSF30 MA71B","ICSV30 IF6BM IF69D","60 60 60",
 8,[961],CSV40,COMPUTAÇÃO GRÁFICA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSV30,"ICSV40 IF6AF","60 60",
 8,[961],CSV41,INTRODUÇÃO À VISÃO COMPUTACIONAL,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSV30,"ICSV41 IF6BJ","60 60",
 8,[961],CSV42,TÓPICOS AVANÇADOS EM PROCESSAMENTO GRÁFICO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSV30,,,
 8,[961],CSV43,PROCESSAMENTO DIGITAL DE IMAGENS 2,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSV30,IF6BN,60,
 8,[961],CSV45,RECONHECIMENTO DE PADRÕES EM IMAGENS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSV30,ICSV45,60,
